uri,title,author,editor,translator,introduction,illustrator,photographer,year,format,uncertain,ebook_url,volumes_issues,notes,event_count,borrow_count,purchase_count,circulation_years,updated
https://shakespeareandco.princeton.edu/books/charteris-john-sargent/,John Sargent,"Charteris, Evan",,,,,,1927,Book,False,https://archive.org/details/johnsargent00char/page/n7/mode/2up,,,1,1,0,1939,2021-07-17T23:23:59+00:00
https://shakespeareandco.princeton.edu/books/deeping-kitty/,Kitty,"Deeping, Warwick",,,,,,1927,Book,False,,,,6,6,0,1927;1928;1934;1937;1938,2020-04-30T19:40:21+00:00
https://shakespeareandco.princeton.edu/books/bell-landmarks-nineteenth-century/,Landmarks in Nineteenth-Century Painting,"Bell, Clive",,,,,,1927,Book,False,,,,2,2,0,1929;1931,2020-04-30T19:40:17+00:00
https://shakespeareandco.princeton.edu/books/graves-lars-porsena-future/,"Lars Porsena, or, The Future of Swearing and Improper Language","Graves, Robert",,,,,,1927,Book,False,https://archive.org/details/dli.ministry.16038,,,3,3,0,1928;1927,2021-07-19T21:44:00+00:00
https://shakespeareandco.princeton.edu/books/wilson-latterday-symphony/,Latterday Symphony,"Wilson, Romer",,,,,,1927,Book,False,,,,1,1,0,1927,2021-11-18T13:59:05.528084+00:00
https://shakespeareandco.princeton.edu/books/graves-lawrence-arabs/,Lawrence and the Arabs,"Graves, Robert",,,,,,1927,Book,False,https://archive.org/details/in.ernet.dli.2015.40148/page/n9/mode/2up,,,7,7,0,1928;1938;1939;1935,2021-07-19T22:06:01+00:00
https://shakespeareandco.princeton.edu/books/oneill-lazarus-laughed/,Lazarus Laughed,"O'Neill, Eugene",,,,,,1927,Book,False,https://archive.org/details/in.ernet.dli.2015.459826,,,2,2,0,1929;1937,2021-07-19T22:07:59+00:00
https://shakespeareandco.princeton.edu/books/letters-gertrude-bell/,Letters of Gertrude Bell,"Bell, Gertrude Lowthian",,,,,,1927,Book,False,https://archive.org/details/in.ernet.dli.2015.70325,Vol. 1;Vol. 2;2 vols.,,13,13,0,1927;1928;1937;1938;1939,2021-07-20T00:56:47+00:00
https://shakespeareandco.princeton.edu/books/stanley-letters-lady-augusta/,"Letters of Lady Augusta Stanley, A Young Lady at Court, 1849 – 1863","Stanley, Augusta",,,,,,1927,Book,False,,,,1,1,0,1938,2020-06-25T13:42:52+00:00
https://shakespeareandco.princeton.edu/books/heathcote-williams-liberal-points-view/,Liberal Points of View,,"Nathan, Harry Louis;Heathcote-Williams, Harold",,,,,1927,Book,False,,,,1,1,0,1927,2020-04-30T19:40:19+00:00
https://shakespeareandco.princeton.edu/books/rinehart-lost-ecstasy-novel/,Lost Ecstasy: A Novel,"Rinehart, Mary Roberts",,,,,,1927,Book,False,,,,4,4,0,1928;1933;1927,2020-04-30T19:40:18+00:00
https://shakespeareandco.princeton.edu/books/asch-love-chartres/,Love in Chartres,"Asch, Nathan",,,,,,1927,Book,False,,,,1,1,0,1927,2020-07-05T21:08:05+00:00
https://shakespeareandco.princeton.edu/books/mirrlees-lud-mist/,Lud-in-the-Mist,"Mirrlees, Hope",,,,,,1927,Book,False,,,,2,2,0,1930;1932,2020-04-30T19:40:17+00:00
https://shakespeareandco.princeton.edu/books/oneill-marco-millions-play/,Marco Millions: A Play,"O'Neill, Eugene",,,,,,1927,Book,False,,,,1,1,0,1937,2020-04-30T19:40:20+00:00
https://shakespeareandco.princeton.edu/books/hemingway-men-without-women/,Men without Women,"Hemingway, Ernest",,,,,,1927,Book,False,https://archive.org/details/in.ernet.dli.2015.182855,,,26,26,0,1927;1928;1929;1930;1931;1933;1934;1935;1936;1937;1939;1940;1941,2021-11-15T06:06:38.342592+00:00
https://shakespeareandco.princeton.edu/books/fernandez-messages/,Messages,"Fernández, Ramón",,"Belgion, Montgomery",,,,1927,Book,False,,,,1,0,0,1929,2020-04-30T19:40:20+00:00
https://shakespeareandco.princeton.edu/books/clark-stories-tell/,More Stories and How to Tell Them,"Clark, Elizabeth",,,,,,1927,Book,False,,,,1,0,0,1961,2021-11-14T14:55:41.012748+00:00
https://shakespeareandco.princeton.edu/books/lawrence-mornings-mexico/,Mornings in Mexico,"Lawrence, D. H.",,,,,,1927,Book,False,,,,4,4,0,1939;1934,2020-04-30T19:40:18+00:00
https://shakespeareandco.princeton.edu/books/haldane-motherhood-enemies/,Motherhood and Its Enemies,"Haldane, Charlotte",,,,,,1927,Book,False,https://archive.org/details/in.ernet.dli.2015.85441/page/n5/mode/2up,,,1,1,0,1928;1927,2021-11-14T13:51:28.939713+00:00
https://shakespeareandco.princeton.edu/books/mayo-mother-india/,Mother India,"Mayo, Katherine",,,,,,1927,Book,False,https://archive.org/details/in.ernet.dli.2015.458884/mode/2up,,,8,8,0,1927;1928;1931;1932;1937;1939;1941,2021-11-14T13:50:16.016226+00:00
https://shakespeareandco.princeton.edu/books/warner-mr-fortunes-maggot/,Mr. Fortune's Maggot,"Warner, Sylvia Townsend",,,,,,1927,Book,False,,,,1,1,0,1947;1948,2020-04-30T19:40:21+00:00
https://shakespeareandco.princeton.edu/books/huddleston-mr-paname-paris/,Mr. Paname: A Paris Fantasia,"Huddleston, Sisley",,,,,,1927,Book,False,,,,3,3,0,1928;1926;1927,2020-06-28T02:24:33+00:00
https://shakespeareandco.princeton.edu/books/powys-mr-westons-good/,Mr. Weston's Good Wine,"Powys, Theodore Francis",,,,,,1927,Book,False,,,,1,1,0,1935,2020-04-30T19:40:16+00:00
https://shakespeareandco.princeton.edu/books/connington-murder-maze/,Murder in the Maze,"Connington, J. J.",,,,,,1927,Book,False,,,,2,2,0,1928;1938,2020-07-06T01:57:32+00:00
https://shakespeareandco.princeton.edu/books/roberts-heart-flesh-novel/,My Heart and My Flesh: A Novel,"Roberts, Elizabeth Madox",,,,,,1927,Book,False,,,,3,3,0,1929;1927,2020-06-08T18:15:02+00:00
https://shakespeareandco.princeton.edu/books/david-neel-journey-lhasa/,My Journey to Lhasa,"David-Néel, Alexandra",,,,,,1927,Book,False,https://archive.org/details/dli.pahar.2325,,,6,6,0,1928;1930;1934;1936;1939;1940,2021-11-13T21:50:13.713315+00:00
https://shakespeareandco.princeton.edu/books/duncan-life/,My Life,"Duncan, Isadora",,,,,,1927,Book,False,https://gutenberg.ca/ebooks/duncani-mylife/duncani-mylife-00-h-dir/duncani-mylife-00-h.html,,,17,17,0,1928;1929;1930;1931;1934;1935;1940;1941;1942,2021-11-13T21:49:30.902307+00:00
https://shakespeareandco.princeton.edu/books/ford-new-york-america/,New York Is Not America,"Ford, Ford Madox",,,,,,1927,Book,False,,,,2,2,0,1928,2020-07-17T01:00:49+00:00
https://shakespeareandco.princeton.edu/books/mason-tiger/,No Other Tiger,"Mason, A. E. W.",,,,,,1927,Book,False,https://archive.org/details/dli.ernet.470001/page/n7/mode/2up,,,3,3,0,1930;1931,2021-11-12T13:14:29.606513+00:00
https://shakespeareandco.princeton.edu/books/larsen-norways-best-stories/,Norway's Best Stories,,"Larsen, Hanna Astrup","Orbeck, Anders",,,,1927,Book,False,,,,1,1,0,1932,2020-04-30T19:40:16+00:00
https://shakespeareandco.princeton.edu/books/ertz-now-east-now/,"Now East, Now West","Ertz, Susan",,,,,,1927,Book,False,https://archive.org/details/in.ernet.dli.2015.13742,,,2,2,0,1931;1932,2021-11-12T04:12:24.031298+00:00
https://shakespeareandco.princeton.edu/books/richardson-oberland-pilgrimage-9/,Oberland (Pilgrimage 9),"Richardson, Dorothy M.",,,,,,1927,Book,False,https://archive.org/details/in.ernet.dli.2015.225678,,,8,7,1,1928;1931;1932;1934;1937;1939,2021-11-12T04:04:55.161099+00:00
